,all_data,formattedLocation,country
3792,"Puteaux, Ãle-de-France, France, France","Puteaux, Ãle-de-France, France",France
3793,"St.-Ouen, Ãle-de-France, France, France","St.-Ouen, Ãle-de-France, France",France
3794,"Stevenson, AL, United States","Stevenson, AL",United States of America
3795,"Little London, England, United Kingdom, United Kingdom","Little London, England, United Kingdom",United Kingdom
3796,"Hanau am Main, Hesse, Germany, Germany","Hanau am Main, Hesse, Germany",Germany
3797,"Panama City, PanamÃ¡, Panama, Panama","Panama City, PanamÃ¡, Panama",Panama
3798,"Luxembourg, Luxembourg, Luxembourg, Luxembourg","Luxembourg, Luxembourg, Luxembourg",Luxembourg
3799,"Ãmraniye, Istanbul, TÃ¼rkiye, TÃ¼rkiye","Ãmraniye, Istanbul, TÃ¼rkiye",TÃ¼rkiye
3800,"Baoying County, Jiangsu, China, China","Baoying County, Jiangsu, China",China
3801,"Il GÄ§ira, Malta, Malta","Il GÄ§ira, Malta",Malta
3802,"Adairsville, GA, United States","Adairsville, GA",United States of America
3803,"Romakloster, Gotland County, Sweden, Sweden","Romakloster, Gotland County, Sweden",Sweden
3804,"Pueblo-CaÃ±on City Area, United States",Pueblo-CaÃ±on City Area,United States of America
3805,"Szeged, CsongrÃ¡d, Hungary, Hungary","Szeged, CsongrÃ¡d, Hungary",Hungary
3806,"Lakeville, MA, United States","Lakeville, MA",United States of America
3807,"QuerÃ©taro, Mexico, Mexico","QuerÃ©taro, Mexico",Mexico
3808,"KoÅ¡ice-okolie, Kosice, Slovakia, Slovakia","KoÅ¡ice-okolie, Kosice, Slovakia",Slovakia
3809,"Calauan, Calabarzon, Philippines, Philippines","Calauan, Calabarzon, Philippines",Philippines
3810,"Maywood, CA, United States","Maywood, CA",United States of America
3811,"Savigny-le-Temple, Ãle-de-France, France, France","Savigny-le-Temple, Ãle-de-France, France",France
3812,"Dallas, IN, United States","Dallas, IN",United States of America
3813,"VÃ¤sterÃ¥s, VÃ¤stmanland County, Sweden, Sweden","VÃ¤sterÃ¥s, VÃ¤stmanland County, Sweden",Sweden
3814,"Newstead, Queensland, Australia, Australia","Newstead, Queensland, Australia",Australia
3815,"Newport, NJ, United States","Newport, NJ",United States of America
3816,"VeszprÃ©m, VeszprÃ©m, Hungary, Hungary","VeszprÃ©m, VeszprÃ©m, Hungary",Hungary
3817,"Greater Dresden Area, Germany",Greater Dresden Area,Germany
3818,"Polomolok, Soccsksargen, Philippines, Philippines","Polomolok, Soccsksargen, Philippines",Philippines
3819,"Sattahip, Chon Buri, Thailand, Thailand","Sattahip, Chon Buri, Thailand",Thailand
3820,"BÄgmatÄ«, Nepal, Nepal","BÄgmatÄ«, Nepal",Nepal
3821,"South Chicago, IL, United States","South Chicago, IL",United States of America
3822,"Armenia, QuindÃ­o, Colombia, Colombia","Armenia, QuindÃ­o, Colombia",Colombia
3823,"Hsinchu, Taiwan, Taiwan, Taiwan","Hsinchu, Taiwan, Taiwan",Taiwan
3824,"ÄÃ  Nang, Da Nang City, Vietnam, Vietnam","ÄÃ  Nang, Da Nang City, Vietnam",Vietnam
3825,"Mitchell, IN, United States","Mitchell, IN",United States of America
3826,"BogotÃ¡, Capital District, Colombia, Colombia","BogotÃ¡, Capital District, Colombia",Colombia
3827,"Central, VA, United States","Central, VA",United States of America
3828,"Mexico, Central Luzon, Philippines, Philippines","Mexico, Central Luzon, Philippines",Philippines
3829,"VÃ¤stra GÃ¶taland County, Sweden, Sweden","VÃ¤stra GÃ¶taland County, Sweden",Sweden
3830,"San Miguel, Corrientes, Argentina, Argentina","San Miguel, Corrientes, Argentina",Argentina
3831,"MÃ¼nchen, Bavaria, Germany, Germany","MÃ¼nchen, Bavaria, Germany",Germany
3832,"Farringdon, England, United Kingdom, United Kingdom","Farringdon, England, United Kingdom",United Kingdom
3833,"CrÃ©py-en-Valois, Hauts-de-France, France, France","CrÃ©py-en-Valois, Hauts-de-France, France",France
3834,"Waldbronn, Baden-WÃ¼rttemberg, Germany, Germany","Waldbronn, Baden-WÃ¼rttemberg, Germany",Germany
3835,"Cambridgeshire, England, United Kingdom, United Kingdom","Cambridgeshire, England, United Kingdom",United Kingdom
3836,"Weiherhammer, Bavaria, Germany, Germany","Weiherhammer, Bavaria, Germany",Germany
3837,"Nenagh, County Tipperary, Ireland, Ireland","Nenagh, County Tipperary, Ireland",Ireland
3838,"Dwingeloo, Drenthe, Netherlands, Netherlands","Dwingeloo, Drenthe, Netherlands",Netherlands
3839,"Frimley, England, United Kingdom, United Kingdom","Frimley, England, United Kingdom",United Kingdom
3840,"BeyoÄlu, Istanbul, TÃ¼rkiye, TÃ¼rkiye","BeyoÄlu, Istanbul, TÃ¼rkiye",TÃ¼rkiye
3841,"Ras al-Khaimah, United Arab Emirates, United Arab Emirates","Ras al-Khaimah, United Arab Emirates",United Arab Emirates
3842,"Samsun, TÃ¼rkiye, TÃ¼rkiye","Samsun, TÃ¼rkiye",TÃ¼rkiye
3843,"Cartagena, BolÃ­var, Colombia, Colombia","Cartagena, BolÃ­var, Colombia",Colombia
3844,"Friedrichsdorf, Hesse, Germany, Germany","Friedrichsdorf, Hesse, Germany",Germany
3845,"Koropi, Attiki, Greece, Greece","Koropi, Attiki, Greece",Greece
3846,"Haiger, Hesse, Germany, Germany","Haiger, Hesse, Germany",Germany
3847,"AbhÄ, 'Asir, Saudi Arabia, Saudi Arabia","AbhÄ, 'Asir, Saudi Arabia",Saudi Arabia
3848,"Schindellegi, Schwyz, Switzerland, Switzerland","Schindellegi, Schwyz, Switzerland",Switzerland
3849,"Chuzhou, Anhui, China, China","Chuzhou, Anhui, China",China
3850,"Itzehoe, Schleswig-Holstein, Germany, Germany","Itzehoe, Schleswig-Holstein, Germany",Germany
3851,"Brookfield, CT, United States","Brookfield, CT",United States of America
3852,"Orsay, Ãle-de-France, France, France","Orsay, Ãle-de-France, France",France
3853,"Reilingen, Baden-WÃ¼rttemberg, Germany, Germany","Reilingen, Baden-WÃ¼rttemberg, Germany",Germany
3854,"Islamabad, IslÄmÄbÄd, Pakistan, Pakistan","Islamabad, IslÄmÄbÄd, Pakistan",Pakistan
3855,"Surte, VÃ¤stra GÃ¶taland County, Sweden, Sweden","Surte, VÃ¤stra GÃ¶taland County, Sweden",Sweden
3856,"Mid Devon, England, United Kingdom, United Kingdom","Mid Devon, England, United Kingdom",United Kingdom
3857,"Niwot, CO, United States","Niwot, CO",United States of America
3858,"Bridgewater, NY, United States","Bridgewater, NY",United States of America
3859,"Atisbo, Oyo State, Nigeria, Nigeria","Atisbo, Oyo State, Nigeria",Nigeria
3860,"Cork Metropolitan Area, Ireland",Cork Metropolitan Area,Ireland
3861,"Kfar Yehoshua, North District, Israel, Israel","Kfar Yehoshua, North District, Israel",Israel
3862,"Atlanta, NY, United States","Atlanta, NY",United States of America
3863,"Montana, Montana, Bulgaria, Bulgaria","Montana, Montana, Bulgaria",Bulgaria
3864,"Panchkula, India, India","Panchkula, India",India
3865,"Vail, CO, United States","Vail, CO",United States of America
3866,"City Of Edinburgh, Scotland, United Kingdom, United Kingdom","City Of Edinburgh, Scotland, United Kingdom",United Kingdom
3867,"Uttarkashi, Uttarakhand, India, India","Uttarkashi, Uttarakhand, India",India
3868,"MontrÃ©al-Est, QC, Canada","MontrÃ©al-Est, QC",Canada
3869,"Praha-DubeÄ, Prague, Czechia, Czechia","Praha-DubeÄ, Prague, Czechia",Czechia
3870,"South Brisbane, Queensland, Australia, Australia","South Brisbane, Queensland, Australia",Australia
3871,"Sinn Al Fil, Mount Lebanon Governorate, Lebanon, Lebanon","Sinn Al Fil, Mount Lebanon Governorate, Lebanon",Lebanon
3872,"Dhahran, Eastern, Saudi Arabia, Saudi Arabia","Dhahran, Eastern, Saudi Arabia",Saudi Arabia
3873,"Virginia, South Australia, Australia, Australia","Virginia, South Australia, Australia",Australia
3874,"Kauswagan, Northern Mindanao, Philippines, Philippines","Kauswagan, Northern Mindanao, Philippines",Philippines
3875,"Kodaira, Tokyo, Japan, Japan","Kodaira, Tokyo, Japan",Japan
3876,"Brownsville, WI, United States","Brownsville, WI",United States of America
3877,"Ä°zmir, TÃ¼rkiye, TÃ¼rkiye","Ä°zmir, TÃ¼rkiye",TÃ¼rkiye
3878,"Quad Cities Metropolitan Area, United States",Quad Cities Metropolitan Area,United States of America
3879,"Secunda, Mpumalanga, South Africa, South Africa","Secunda, Mpumalanga, South Africa",South Africa
3880,"Northern Territory, Australia, Australia","Northern Territory, Australia",Australia
3881,"Amboy, IL, United States","Amboy, IL",United States of America
3882,"Stirling, South Australia, Australia, Australia","Stirling, South Australia, Australia",Australia
3883,"San Juan del RÃ­o, Durango, Mexico, Mexico","San Juan del RÃ­o, Durango, Mexico",Mexico
3884,"Edison, CA, United States","Edison, CA",United States of America
3885,"Antiguo CuscatlÃ¡n, La Libertad, El Salvador, El Salvador","Antiguo CuscatlÃ¡n, La Libertad, El Salvador",El Salvador
3886,"Koerich, Luxembourg, Luxembourg, Luxembourg","Koerich, Luxembourg, Luxembourg",Luxembourg
3887,"Irwindale, CA, United States","Irwindale, CA",United States of America
3888,"Knoxville, Tennessee, United States, United States","Knoxville, Tennessee, United States",United States of America
3889,"Kiryat Gat, South District, Israel, Israel","Kiryat Gat, South District, Israel",Israel
3890,"Pancoran Mas, West Java, Indonesia, Indonesia","Pancoran Mas, West Java, Indonesia",Indonesia
3891,"Leeming, England, United Kingdom, United Kingdom","Leeming, England, United Kingdom",United Kingdom
3892,"Sun City, CA, United States","Sun City, CA",United States of America
3893,"Wednesbury, England, United Kingdom, United Kingdom","Wednesbury, England, United Kingdom",United Kingdom
3894,"Zaanstad, North Holland, Netherlands, Netherlands","Zaanstad, North Holland, Netherlands",Netherlands
3895,"Bethel, CT, United States","Bethel, CT",United States of America
3896,"San Pedro Sula, CortÃ©s, Honduras, Honduras","San Pedro Sula, CortÃ©s, Honduras",Honduras
3897,"Santa BrÃ­gida, Canary Islands, Spain, Spain","Santa BrÃ­gida, Canary Islands, Spain",Spain
3898,"Arviat, NU, Canada","Arviat, NU",Canada
3899,"Santa Croce Mare, Friuli-Venezia Giulia, Italy, Italy","Santa Croce Mare, Friuli-Venezia Giulia, Italy",Italy
3900,"Los Lunas, NM, United States","Los Lunas, NM",United States of America
3901,"Forest City, NC, United States","Forest City, NC",United States of America
3902,"ÃskÃ¼dar, Istanbul, TÃ¼rkiye, TÃ¼rkiye","ÃskÃ¼dar, Istanbul, TÃ¼rkiye",TÃ¼rkiye
3903,"Bandung, Banten, Indonesia, Indonesia","Bandung, Banten, Indonesia",Indonesia
3904,"Saharsa, Bihar, India, India","Saharsa, Bihar, India",India
3905,"Nagercoil, Tamil Nadu, India, India","Nagercoil, Tamil Nadu, India",India
3906,"Tenali, Andhra Pradesh, India, India","Tenali, Andhra Pradesh, India",India
3907,"Tokke, Vestfold og Telemark, Norway, Norway","Tokke, Vestfold og Telemark, Norway",Norway
3908,"Khaira, Bihar, India, India","Khaira, Bihar, India",India
3909,"KoÅ¡ice, Kosice, Slovakia, Slovakia","KoÅ¡ice, Kosice, Slovakia",Slovakia
3910,"Bihar Sharif, Bihar, India, India","Bihar Sharif, Bihar, India",India
3911,"Kurnool, Andhra Pradesh, India, India","Kurnool, Andhra Pradesh, India",India
3912,"Jorhat, Assam, India, India","Jorhat, Assam, India",India
3913,"Barpeta, Assam, India, India","Barpeta, Assam, India",India
3914,"Dehri, India, India","Dehri, India",India
3915,"PloieÈti, Prahova, Romania, Romania","PloieÈti, Prahova, Romania",Romania
3916,"PÃ©cs, Baranya, Hungary, Hungary","PÃ©cs, Baranya, Hungary",Hungary
3917,"ReykjavÃ­k, Capital Region, Iceland, Iceland","ReykjavÃ­k, Capital Region, Iceland",Iceland
3918,"Ajmer, Rajasthan, India, India","Ajmer, Rajasthan, India",India
3919,"Bhatu, Haryana, India, India","Bhatu, Haryana, India",India
3920,"Barranquilla, AtlÃ¡ntico, Colombia, Colombia","Barranquilla, AtlÃ¡ntico, Colombia",Colombia
3921,"Karawal Nagar, Delhi, India, India","Karawal Nagar, Delhi, India",India
3922,"Mahbubnagar, Telangana, India, India","Mahbubnagar, Telangana, India",India
3923,"SÃ£o LuÃ­s, MaranhÃ£o, Brazil, Brazil","SÃ£o LuÃ­s, MaranhÃ£o, Brazil",Brazil
3924,"Thanh Phong, Ben Tre, Vietnam, Vietnam","Thanh Phong, Ben Tre, Vietnam",Vietnam
3925,"Cordoba, CÃ³rdoba, Argentina, Argentina","Cordoba, CÃ³rdoba, Argentina",Argentina
3926,"Jalna, Madhya Pradesh, India, India","Jalna, Madhya Pradesh, India",India
3927,"Buxar, Bihar, India, India","Buxar, Bihar, India",India
3928,"WÃ¼rzburg, Bavaria, Germany, Germany","WÃ¼rzburg, Bavaria, Germany",Germany
3929,"Purnia, Jharkhand, India, India","Purnia, Jharkhand, India",India
3930,"Auraiya, Uttar Pradesh, India, India","Auraiya, Uttar Pradesh, India",India
3931,"Timmins, ON, Canada","Timmins, ON",Canada
3932,"Golden Valley, AZ, United States","Golden Valley, AZ",United States of America
3933,"Mercier, QC, Canada","Mercier, QC",Canada
3934,"Talihina, OK, United States","Talihina, OK",United States of America
3935,"St Stephen, NB, Canada","St Stephen, NB",Canada
3936,"Sainte-Catherine, QC, Canada","Sainte-Catherine, QC",Canada
3937,"Wettingen, Aargau, Switzerland, Switzerland","Wettingen, Aargau, Switzerland",Switzerland
3938,"EnkÃ¶ping, Uppsala County, Sweden, Sweden","EnkÃ¶ping, Uppsala County, Sweden",Sweden
3939,"Market Bosworth, England, United Kingdom, United Kingdom","Market Bosworth, England, United Kingdom",United Kingdom
3940,"Alexandria, MN, United States","Alexandria, MN",United States of America
3941,"Landover Hills, MD, United States","Landover Hills, MD",United States of America
3942,"Disputanta, VA, United States","Disputanta, VA",United States of America
3943,"Peterlee, England, United Kingdom, United Kingdom","Peterlee, England, United Kingdom",United Kingdom
3944,"Poulton-Le-Fylde, England, United Kingdom, United Kingdom","Poulton-Le-Fylde, England, United Kingdom",United Kingdom
3945,"BaÅakÅehir, Istanbul, TÃ¼rkiye, TÃ¼rkiye","BaÅakÅehir, Istanbul, TÃ¼rkiye",TÃ¼rkiye
3946,"Ankara, TÃ¼rkiye, TÃ¼rkiye","Ankara, TÃ¼rkiye",TÃ¼rkiye
3947,"IslÄmÄbÄd, Pakistan, Pakistan","IslÄmÄbÄd, Pakistan",Pakistan
3948,"MÃ¼nster, North Rhine-Westphalia, Germany, Germany","MÃ¼nster, North Rhine-Westphalia, Germany",Germany
3949,"El Salto, Durango, Mexico, Mexico","El Salto, Durango, Mexico",Mexico
3950,"Hosdurga, Karnataka, India, India","Hosdurga, Karnataka, India",India
3951,"Magnolia, MS, United States","Magnolia, MS",United States of America
3952,"Providence County, RI, United States","Providence County, RI",United States of America
3953,"Woodville, WI, United States","Woodville, WI",United States of America
3954,"South Sioux City, NE, United States","South Sioux City, NE",United States of America
3955,"Londrina, ParanÃ¡, Brazil, Brazil","Londrina, ParanÃ¡, Brazil",Brazil
3956,"Ãle-de-France, France, France","Ãle-de-France, France",France
3957,"Bodenseekreis, Baden-WÃ¼rttemberg, Germany, Germany","Bodenseekreis, Baden-WÃ¼rttemberg, Germany",Germany
3958,"Swannington, England, United Kingdom, United Kingdom","Swannington, England, United Kingdom",United Kingdom
3959,"Cortland, NY, United States","Cortland, NY",United States of America
3960,"Lund, SkÃ¥ne County, Sweden, Sweden","Lund, SkÃ¥ne County, Sweden",Sweden
3961,"Tallassee, AL, United States","Tallassee, AL",United States of America
3962,"Belvoir, VA, United States","Belvoir, VA",United States of America
3963,"Abergavenny, Wales, United Kingdom, United Kingdom","Abergavenny, Wales, United Kingdom",United Kingdom
3964,"To, Ibaraki, Japan, Japan","To, Ibaraki, Japan",Japan
3965,"Gorubathan, West Bengal, India, India","Gorubathan, West Bengal, India",India
3966,"Baie-Comeau, QC, Canada","Baie-Comeau, QC",Canada
3967,"Will County, IL, United States","Will County, IL",United States of America
3968,"Howard Lake, MN, United States","Howard Lake, MN",United States of America
3969,"Araraquara, SÃ£o Paulo, Brazil, Brazil","Araraquara, SÃ£o Paulo, Brazil",Brazil
3970,"Odessa, Ukraine, Ukraine","Odessa, Ukraine",Ukraine
3971,"Tipp City, OH, United States","Tipp City, OH",United States of America
3972,"Rabat, Rabat-SalÃ©-KÃ©nitra, Morocco, Morocco","Rabat, Rabat-SalÃ©-KÃ©nitra, Morocco",Morocco
3973,"Rumford, RI, United States","Rumford, RI",United States of America
3974,"Koszalin Metropolitan Area, Poland",Koszalin Metropolitan Area,Poland
3975,"Greater Quebec City Metropolitan Area, Canada",Greater Quebec City Metropolitan Area,Canada
3976,"Torun Metropolitan Area, Poland",Torun Metropolitan Area,Poland
3977,"Big Bend, WI, United States","Big Bend, WI",United States of America
3978,"Richardsville, VA, United States","Richardsville, VA",United States of America
3979,"Dunlap, IL, United States","Dunlap, IL",United States of America
3980,"Pomona, NJ, United States","Pomona, NJ",United States of America
3981,"Stanardsville, VA, United States","Stanardsville, VA",United States of America
3982,"Princeton, MA, United States","Princeton, MA",United States of America
3983,"Loudon, NH, United States","Loudon, NH",United States of America
3984,"Felgueiras, Porto, Portugal, Portugal","Felgueiras, Porto, Portugal",Portugal
3985,"Goddard, KS, United States","Goddard, KS",United States of America
3986,"Springdale, UT, United States","Springdale, UT",United States of America
3987,"La Crosse-Onalaska Area, United States",La Crosse-Onalaska Area,United States of America
3988,"Greater GijÃ³n Metropolitan Area, Spain",Greater GijÃ³n Metropolitan Area,Spain
3989,"Fitchburg, MA, United States","Fitchburg, MA",United States of America
3990,"Knoxville Metropolitan Area, United States",Knoxville Metropolitan Area,United States of America
3991,"Grand Saline, TX, United States","Grand Saline, TX",United States of America
3992,"Closter, NJ, United States","Closter, NJ",United States of America
3993,"Australian Capital Territory, Australia, Australia","Australian Capital Territory, Australia",Australia
3994,"England, AR, United States","England, AR",United States of America
3995,"FlÃ©malle-Grande, Walloon Region, Belgium, Belgium","FlÃ©malle-Grande, Walloon Region, Belgium",Belgium
3996,"Townsend, MA, United States","Townsend, MA",United States of America
3997,"DÃ¤ttwil, Aargau, Switzerland, Switzerland","DÃ¤ttwil, Aargau, Switzerland",Switzerland
3998,"Indang, Calabarzon, Philippines, Philippines","Indang, Calabarzon, Philippines",Philippines
3999,"Buffalo-Niagara Falls Area, United States",Buffalo-Niagara Falls Area,United States of America
4000,"Krakowski, MaÅopolskie, Poland, Poland","Krakowski, MaÅopolskie, Poland",Poland
4001,"Rawalpindi, Punjab, Pakistan, Pakistan","Rawalpindi, Punjab, Pakistan",Pakistan
4002,"Cidade de Maputo, Mozambique, Mozambique","Cidade de Maputo, Mozambique",Mozambique
4003,"Wiener Neustadt, Lower Austria, Austria, Austria","Wiener Neustadt, Lower Austria, Austria",Austria
4004,"Ãrebro County, Sweden, Sweden","Ãrebro County, Sweden",Sweden
4005,"St-Malo, Brittany, France, France","St-Malo, Brittany, France",France
4006,"Linwood, NJ, United States","Linwood, NJ",United States of America
4007,"Chapeltown, England, United Kingdom, United Kingdom","Chapeltown, England, United Kingdom",United Kingdom
4008,"Castlereagh, Northern Ireland, United Kingdom, United Kingdom","Castlereagh, Northern Ireland, United Kingdom",United Kingdom
4009,"Kingsand, England, United Kingdom, United Kingdom","Kingsand, England, United Kingdom",United Kingdom
4010,"The Moor, England, United Kingdom, United Kingdom","The Moor, England, United Kingdom",United Kingdom
4011,"Newcastle-Under-Lyme, England, United Kingdom, United Kingdom","Newcastle-Under-Lyme, England, United Kingdom",United Kingdom
4012,"Ketteringham, England, United Kingdom, United Kingdom","Ketteringham, England, United Kingdom",United Kingdom
4013,"Marley Hill, England, United Kingdom, United Kingdom","Marley Hill, England, United Kingdom",United Kingdom
4014,"Withington, England, United Kingdom, United Kingdom","Withington, England, United Kingdom",United Kingdom
4015,"Hythe, England, United Kingdom, United Kingdom","Hythe, England, United Kingdom",United Kingdom
4016,"Stretton-On-Dunsmore, England, United Kingdom, United Kingdom","Stretton-On-Dunsmore, England, United Kingdom",United Kingdom
4017,"Dunston, England, United Kingdom, United Kingdom","Dunston, England, United Kingdom",United Kingdom
4018,"Wallsend, England, United Kingdom, United Kingdom","Wallsend, England, United Kingdom",United Kingdom
4019,"Gosforth, England, United Kingdom, United Kingdom","Gosforth, England, United Kingdom",United Kingdom
4020,"Fayetteville, NY, United States","Fayetteville, NY",United States of America
4021,"Linden, TX, United States","Linden, TX",United States of America
4022,"La Quinta, Durango, Mexico, Mexico","La Quinta, Durango, Mexico",Mexico
4023,"Germantown Park, MD, United States","Germantown Park, MD",United States of America
4024,"Camden County, NJ, United States","Camden County, NJ",United States of America
4025,"Puerto Vallarta, Jalisco, Mexico, Mexico","Puerto Vallarta, Jalisco, Mexico",Mexico
4026,"Pahrump, NV, United States","Pahrump, NV",United States of America
4027,"Ohio, IN, United States","Ohio, IN",United States of America
4028,"Hill Head, England, United Kingdom, United Kingdom","Hill Head, England, United Kingdom",United Kingdom
4029,"Clarks Summit, PA, United States","Clarks Summit, PA",United States of America
4030,"Davos, GraubÃ¼nden, Switzerland, Switzerland","Davos, GraubÃ¼nden, Switzerland",Switzerland
4031,"Moka, Moka, Mauritius, Mauritius","Moka, Moka, Mauritius",Mauritius
4032,"Epping, NH, United States","Epping, NH",United States of America
4033,"Ig, Ljubljana, Slovenia, Slovenia","Ig, Ljubljana, Slovenia",Slovenia
4034,"Long Beach, California, United States, United States","Long Beach, California, United States",United States of America
4035,"Itami, Hyogo, Japan, Japan","Itami, Hyogo, Japan",Japan
4036,"Berlin, MI, United States","Berlin, MI",United States of America
4037,"Saint Alban's, OH, United States","Saint Alban's, OH",United States of America
4038,"Reford 379, Saskatchewan, Canada","Reford 379, Saskatchewan",Canada
4039,"Bremen, Chiapas, Mexico, Mexico","Bremen, Chiapas, Mexico",Mexico
4040,"King's Lynn, England, United Kingdom, United Kingdom","King's Lynn, England, United Kingdom",United Kingdom
4041,"Tecumseh, MI, United States","Tecumseh, MI",United States of America
4042,"Baton Rouge, Louisiana, United States, United States","Baton Rouge, Louisiana, United States",United States of America
4043,"West New York, NJ, United States","West New York, NJ",United States of America
4044,"Richmond West, FL, United States","Richmond West, FL",United States of America
4045,"Cartagena, RegiÃ³n de Murcia, Spain, Spain","Cartagena, RegiÃ³n de Murcia, Spain",Spain
4046,"Villaricca, Campania, Italy, Italy","Villaricca, Campania, Italy",Italy
4047,"Heuchelheim, Hesse, Germany, Germany","Heuchelheim, Hesse, Germany",Germany
4048,"Irakleio, Attiki, Greece, Greece","Irakleio, Attiki, Greece",Greece
4049,"TÃ¼bingen, Baden-WÃ¼rttemberg, Germany, Germany","TÃ¼bingen, Baden-WÃ¼rttemberg, Germany",Germany
4050,"Atlanta, CA, United States","Atlanta, CA",United States of America
4051,"HortolÃ¢ndia, SÃ£o Paulo, Brazil, Brazil","HortolÃ¢ndia, SÃ£o Paulo, Brazil",Brazil
4052,"Greater Madurai Area, India",Greater Madurai Area,India
4053,"Wilmington, IN, United States","Wilmington, IN",United States of America
4054,"Costa, WV, United States","Costa, WV",United States of America
4055,"ToruÅ, Kujawsko-pomorskie, Poland, Poland","ToruÅ, Kujawsko-pomorskie, Poland",Poland
4056,"Kenton, DE, United States","Kenton, DE",United States of America
4057,"Stevensburg, VA, United States","Stevensburg, VA",United States of America
4058,"Goldsboro, MD, United States","Goldsboro, MD",United States of America
4059,"Camden Wyoming, DE, United States","Camden Wyoming, DE",United States of America
4060,"Wakarusa, IN, United States","Wakarusa, IN",United States of America
4061,"Manito, IL, United States","Manito, IL",United States of America
4062,"Kents Store, VA, United States","Kents Store, VA",United States of America
4063,"Brooklandville, MD, United States","Brooklandville, MD",United States of America
4064,"Andersonville, TN, United States","Andersonville, TN",United States of America
4065,"Mount Freedom, NJ, United States","Mount Freedom, NJ",United States of America
4066,"Pocono Lake, PA, United States","Pocono Lake, PA",United States of America
4067,"Byers, TX, United States","Byers, TX",United States of America
4068,"Enloe, TX, United States","Enloe, TX",United States of America
4069,"Lawton, MI, United States","Lawton, MI",United States of America
4070,"Pratts, VA, United States","Pratts, VA",United States of America
4071,"Bel Air Acres, MD, United States","Bel Air Acres, MD",United States of America
4072,"University Park, IL, United States","University Park, IL",United States of America
4073,"Totton, England, United Kingdom, United Kingdom","Totton, England, United Kingdom",United Kingdom
4074,"Molsheim, Grand Est, France, France","Molsheim, Grand Est, France",France
4075,"Willebroek, Flemish Region, Belgium, Belgium","Willebroek, Flemish Region, Belgium",Belgium
4076,"Del Gallego, Bicol Region, Philippines, Philippines","Del Gallego, Bicol Region, Philippines",Philippines
4077,"Copenhagen Metropolitan Area, Denmark",Copenhagen Metropolitan Area,Denmark
4078,"Falun, Dalarna County, Sweden, Sweden","Falun, Dalarna County, Sweden",Sweden
4079,"Altamira, Tamaulipas, Mexico, Mexico","Altamira, Tamaulipas, Mexico",Mexico
4080,"Kill Devil Hills, NC, United States","Kill Devil Hills, NC",United States of America
4081,"Medley, FL, United States","Medley, FL",United States of America
4082,"Mersin, Ä°cel, TÃ¼rkiye, TÃ¼rkiye","Mersin, Ä°cel, TÃ¼rkiye",TÃ¼rkiye
4083,"Union, SC, United States","Union, SC",United States of America
4084,"Castroville, TX, United States","Castroville, TX",United States of America
4085,"Hermiston, OR, United States","Hermiston, OR",United States of America
4086,"Maplewood, MO, United States","Maplewood, MO",United States of America
4087,"Temple, PA, United States","Temple, PA",United States of America
4088,"LaVale, MD, United States","LaVale, MD",United States of America
4089,"Sault Ste. Marie, MI, United States","Sault Ste. Marie, MI",United States of America
4090,"Inverness, FL, United States","Inverness, FL",United States of America
4091,"Flora, IL, United States","Flora, IL",United States of America
4092,"Eastlake, OH, United States","Eastlake, OH",United States of America
4093,"Blairsville, PA, United States","Blairsville, PA",United States of America
4094,"Wentzville, MO, United States","Wentzville, MO",United States of America
4095,"West Brownsville, PA, United States","West Brownsville, PA",United States of America
4096,"Bridge City, TX, United States","Bridge City, TX",United States of America
4097,"Monticello, IN, United States","Monticello, IN",United States of America
4098,"Sparta, IL, United States","Sparta, IL",United States of America
4099,"Ammon, ID, United States","Ammon, ID",United States of America
4100,"Port Allen, LA, United States","Port Allen, LA",United States of America
4101,"La Porte, IN, United States","La Porte, IN",United States of America
4102,"Trinidad, CO, United States","Trinidad, CO",United States of America
4103,"Northglenn, CO, United States","Northglenn, CO",United States of America
4104,"Childress, TX, United States","Childress, TX",United States of America
4105,"Ionia, MI, United States","Ionia, MI",United States of America
4106,"West Burlington, IA, United States","West Burlington, IA",United States of America
4107,"Gladstone, MO, United States","Gladstone, MO",United States of America
4108,"Punxsutawney, PA, United States","Punxsutawney, PA",United States of America
4109,"Michigan City, IN, United States","Michigan City, IN",United States of America
4110,"Hiawatha, KS, United States","Hiawatha, KS",United States of America
4111,"Whitesburg, KY, United States","Whitesburg, KY",United States of America
4112,"West Plains, MO, United States","West Plains, MO",United States of America
4113,"East Liverpool, OH, United States","East Liverpool, OH",United States of America
4114,"Gorham, NH, United States","Gorham, NH",United States of America
4115,"Waynesburg, PA, United States","Waynesburg, PA",United States of America
4116,"Brownwood, TX, United States","Brownwood, TX",United States of America
4117,"Buckeye, AZ, United States","Buckeye, AZ",United States of America
4118,"Bowie, TX, United States","Bowie, TX",United States of America
4119,"Huntington, IN, United States","Huntington, IN",United States of America
4120,"Bemidji, MN, United States","Bemidji, MN",United States of America
4121,"Vestavia Hills, AL, United States","Vestavia Hills, AL",United States of America
4122,"Clarkston, WA, United States","Clarkston, WA",United States of America
4123,"Cá»§ Chi, Ho Chi Minh City, Vietnam, Vietnam","Cá»§ Chi, Ho Chi Minh City, Vietnam",Vietnam
4124,"Harare, Harare, Zimbabwe, Zimbabwe","Harare, Harare, Zimbabwe",Zimbabwe
