all_data,formattedLocation,country
"St. Johns, CA, CA","St. Johns, CA",United States of America
"Yoqne‘am ‘Illit, IL, IL","YoqneÃ¢Â€Â˜am Ã¢Â€Â˜Illit, IL",Israel
"Rumford, ME, US, US","Rumford, ME, US",United States of America
"Sydney, AU, AU","Sydney, au",Australia
"Monterey Park, AL, US, US","Monterey Park, AL, US",United States of America
"Harrison Township, MI, US","Harrison Township, MI",United States of America
"Greater Jakarta Area, Indonesia, Indonesia","Greater Jakarta Area, Indonesia",Indonesia
"Port Elizabeth Metropolitan Area, Port Elizabeth Metropolitan Area",Port Elizabeth Metropolitan Area,South Africa
"Sommo, Lombardy, Italy, Italy","Sommo, Lombardy, Italy",Italy
"Belmont, MI, US","Belmont, MI",United States of America
"East Pittsburgh, PA, US","East Pittsburgh, PA",United States of America
"Oxford, England, United Kingdom, United Kingdom","Oxford, England, United Kingdom",United Kingdom
"Warsaw, Masovian Voivodeship, PL, PL","Warsaw, Masovian Voivodeship, PL",Poland
"Madison, CT, US, US","Madison, CT, US",United States of America
"Lafayette, CA, US, US","Lafayette, CA, US",United States of America
"Plainsboro, NJ, US, US","Plainsboro, NJ, US",United States of America
"Paul, ID, US, US","Paul, ID, US",United States of America
"Bloomfield Hills, MI, US, US","Bloomfield Hills, MI, US",United States of America
"BUPA Portsmouth Hospital, GB, GB","BUPA Portsmouth Hospital, GB",United Kingdom
"Heath, OH, US, US","Heath, OH, US",United States of America
"Kendall Park, NJ, US, US","Kendall Park, NJ, US",United States of America
"Stanford, IL, US, US","Stanford, IL, US",United States of America
"Saratoga Springs, NY, US, US","Saratoga Springs, NY, US",United States of America
"Hettinger, ND, US, US","Hettinger, ND, US",United States of America
"Gladstone, NJ, US, US","Gladstone, NJ, US",United States of America
"Fontainebleau Resort Miami Beach, FL, US, US","Fontainebleau Resort Miami Beach, FL, US",United States of America
"Lauderdale Lakes, FL, US, US","Lauderdale Lakes, FL, US",United States of America
"Cuddalore, IN, IN","Cuddalore, IN",India
"Barrow in Furness, GB, GB","Barrow in Furness, GB",United Kingdom
"Southington, CT, US, US","Southington, CT, US",United States of America
"Sussex, GB, GB","Sussex, GB",United Kingdom
"Abeokuta, NG, NG","Abeokuta, NG",Nigeria
"Dąbrowa Górnicza, PL, PL","DÃ„Â…browa GÃƒÂ³rnicza, PL",Poland
"Fairfax, VA 22033, US, US","Fairfax, VA 22033, US",United States of America
"McLean, VA 22102, US, US","McLean, VA 22102, US",United States of America
"Ridgewood, NJ, US, US","Ridgewood, NJ, US",United States of America
"Scotland, G65 0QX, GB, GB","Scotland, G65 0QX, GB",United Kingdom
"Ramos Arizpe, MX, MX","Ramos Arizpe, MX",Mexico
"Midlothian, TX 23113, US, US","Midlothian, TX 23113, US",United States of America
"Columbia, MD 21046, US, US","Columbia, MD 21046, US",United States of America
"Vancouver, V6B 6H1, CA, CA","Vancouver, V6B 6H1, CA",United States of America
"Piscataway, NJ 08855, US, US","Piscataway, NJ 08855, US",United States of America
"Buffalo, NY 14209, US, US","Buffalo, NY 14209, US",United States of America
"Ogden, UT 84401, US, US","Ogden, UT 84401, US",United States of America
"Cleveland, OH 44114, US, US","Cleveland, OH 44114, US",United States of America
"Carlisle, IA, US, US","Carlisle, IA, US",United States of America
"Jacksonville, FL 32256, US, US","Jacksonville, FL 32256, US",United States of America
"Ottawa, K1R 7X7, CA, CA","Ottawa, K1R 7X7, CA",United States of America
"Carlsbad, CA 92008, US, US","Carlsbad, CA 92008, US",United States of America
"Zagreb, 10020, HR, HR","Zagreb, 10020, HR",Croatia
"Conesville, IA, US, US","Conesville, IA, US",United States of America
"North Middletown, NJ 07748, US, US","North Middletown, NJ 07748, US",United States of America
"Clackamas, OR, US, US","Clackamas, OR, US",United States of America
"Washington Court House, OH 43160, US, US","Washington Court House, OH 43160, US",United States of America
"Oregon, OH, US, US","Oregon, OH, US",United States of America
"Hillsboro, OR 97123, US, US","Hillsboro, OR 97123, US",United States of America
"Mississauga, L5B 0G5, CA, CA","Mississauga, L5B 0G5, CA",United States of America
"Alpharetta, GA 30004, US, US","Alpharetta, GA 30004, US",United States of America
"Greenville, SC 29601, US, US","Greenville, SC 29601, US",United States of America
"Memphis, TN 37501, US, US","Memphis, TN 37501, US",United States of America
"Salix, IA, US, US","Salix, IA, US",United States of America
"Thurston, NE, US, US","Thurston, NE, US",United States of America
"Monmouth, OR, US, US","Monmouth, OR, US",United States of America
"Providence, RI 02908, US, US","Providence, RI 02908, US",United States of America
"Brønshøj, 2700, DK, DK","BrÃƒÂ¸nshÃƒÂ¸j, 2700, DK",Denmark
"Piscataway, NJ 08854, US, US","Piscataway, NJ 08854, US",United States of America
"Amsterdam, North Holland, NL, NL","Amsterdam, North Holland, NL",Netherlands
"Reston, VA 20190, US, US","Reston, VA 20190, US",United States of America
"Dreieich, 63303, DE, DE","Dreieich, 63303, DE",Germany
"Englewood, CO 80110, US, US","Englewood, CO 80110, US",United States of America
"Hilton Head Island, SC, US, US","Hilton Head Island, SC, US",United States of America
"Troy, MI 48084, US, US","Troy, MI 48084, US",United States of America
"Hampton, VA 23630, US, US","Hampton, VA 23630, US",United States of America
"Chandler, AZ 95226, US, US","Chandler, AZ 95226, US",United States of America
"Lowell, MA 01851, US, US","Lowell, MA 01851, US",United States of America
"Hanoi, 100000, VN, VN","Hanoi, 100000, VN",Vietnam
"Waxhaw, NC, US, US","Waxhaw, NC, US",United States of America
"Birmingham, B4, GB, GB","Birmingham, B4, GB",United Kingdom
"Chester, CH1, GB, GB","Chester, CH1, GB",United Kingdom
"Mountain View, NC 28602, US, US","Mountain View, NC 28602, US",United States of America
"Macclesfield, SK11, GB, GB","Macclesfield, SK11, GB",United Kingdom
"Cheltenham, GL50, GB, GB","Cheltenham, GL50, GB",United Kingdom
"Portland, OR 97201, US, US","Portland, OR 97201, US",United States of America
"Axtell, NE 68929, US, US","Axtell, NE 68929, US",United States of America
"Indore, 35, IN, IN","Indore, 35, IN",India
"Lipetsk, 398000, RU, RU","Lipetsk, 398000, RU",Russia
"Jāmnagar, 361295, IN, IN","JÃ„Âmnagar, 361295, IN",India
"Ashburn, VA 20147, US, US","Ashburn, VA 20147, US",United States of America
"Los Angeles, CA 90001, US, US","Los Angeles, CA 90001, US",United States of America
"Elko, NV, US, US","Elko, NV, US",United States of America
"Warren Township, NJ 07059, US, US","Warren Township, NJ 07059, US",United States of America
"Shillong, IN, IN","Shillong, IN",India
"South Africa, 8149, ZA, ZA","South Africa, 8149, ZA",South Africa
"Korntal, 70825, DE, DE","Korntal, 70825, DE",Germany
"Poznań, 60-383, PL, PL","PoznaÃ…Â„, 60-383, PL",Poland
"Freiburg, 79098, DE, DE","Freiburg, 79098, DE",Germany
"Milton, GA, US, US","Milton, GA, US",United States of America
"Fremont, CA 94536, US, US","Fremont, CA 94536, US",United States of America
"Rostov-na-Donu, 344055, RU, RU","Rostov-na-Donu, 344055, RU",Russia
"Manatí, 00674, PR, PR","ManatÃƒÂ­, 00674, PR",Portugal
"Birmingham, AL 35216, US, US","Birmingham, AL 35216, US",United States of America
"Greensboro, NC 27401, US, US","Greensboro, NC 27401, US",United States of America
"Slough, SL3, GB, GB","Slough, SL3, GB",United Kingdom
"Darlington, SC, US, US","Darlington, SC, US",United States of America
"Seekonk, MA, US","Seekonk, MA",United States of America
"Seekonk, MA, US, US","Seekonk, MA, US",United States of America
"Yaqum, IL, IL","Yaqum, IL",Israel
"San José, 99999, CR, CR","San JosÃƒÂ©, 99999, CR",United States of America
"Québec, G1R3P2, CA, CA","QuÃƒÂ©bec, G1R3P2, CA",United States of America
"Deerfield, IL 60015, US, US","Deerfield, IL 60015, US",United States of America
"Willingboro, NJ, US, US","Willingboro, NJ, US",United States of America
"Burlington, MA 01803, US, US","Burlington, MA 01803, US",United States of America
"Orlando, FL 32819, US, US","Orlando, FL 32819, US",United States of America
"Durham, NC 27701, US, US","Durham, NC 27701, US",United States of America
"Vadodara, 390001, IN, IN","Vadodara, 390001, IN",India
"Dehradun, 248003, IN, IN","Dehradun, 248003, IN",India
"Antwerpen, VLG, BE, BE","Antwerpen, VLG, BE",Belgium
"Aurangabad, 523370, IN, IN","Aurangabad, 523370, IN",India
"Greater Noida, 203203, IN, IN","Greater Noida, 203203, IN",India
"Jaipur, 3922, BD, BD","Jaipur, 3922, BD",India
"Marmagao, 403801, IN, IN","Marmagao, 403801, IN",India
"Allahābād, 211016, IN, IN","AllahÃ„ÂbÃ„Âd, 211016, IN",India
"Bhubaneshwar, 752101, IN, IN","Bhubaneshwar, 752101, IN",India
"Studio City, CA, US, US","Studio City, CA, US",United States of America
"Salo, FI, FI","Salo, FI",Finland
"Chantilly, VA 20151, US, US","Chantilly, VA 20151, US",United States of America
"Indore, 453446, IN, IN","Indore, 453446, IN",India
"Jabalpur, 482008, IN, IN","Jabalpur, 482008, IN",India
"Lawrence, KS 66044, US, US","Lawrence, KS 66044, US",United States of America
"Tampa, FL 33601, US, US","Tampa, FL 33601, US",United States of America
"Dayton, OH 45401, US, US","Dayton, OH 45401, US",United States of America
"Liverpool, L3, GB, GB","Liverpool, L3, GB",United Kingdom
"Oberhaching, DE, DE","Oberhaching, DE",Germany
"Hinesville, GA, US, US","Hinesville, GA, US",United States of America
"Toronto, M7A 1, CA, CA","Toronto, M7A 1, CA",United States of America
"Fremont, CA 94538, US, US","Fremont, CA 94538, US",United States of America
"San Jose, CA 95134, US, US","San Jose, CA 95134, US",United States of America
"Prospect, CT, US, US","Prospect, CT, US",United States of America
"Sandy Hook, CT, US","Sandy Hook, CT",United States of America
"Tainan, 74147, TW, TW","Tainan, 74147, TW",Taiwan
"Tualatin, OR 97062, US, US","Tualatin, OR 97062, US",United States of America
"Makati City, 1214, PH, PH","Makati City, 1214, PH",Philippines
"Cyberjaya, 63100, MY, MY","Cyberjaya, 63100, MY",Malaysia
"Stonington, CT, US, US","Stonington, CT, US",United States of America
"Chantilly, VA 20152, US, US","Chantilly, VA 20152, US",United States of America
"Sydney, 2010, AU, AU","Sydney, 2010, AU",Australia
"Brussels, 1180, BE, BE","Brussels, 1180, BE",Belgium
"Paris, 75002, FR, FR","Paris, 75002, FR",France
"Hampton Hill, TW12 1LH, GB, GB","Hampton Hill, TW12 1LH, GB",United Kingdom
"Westminster, CO 80021, US, US","Westminster, CO 80021, US",United States of America
"San Diego, CA 92109, US, US","San Diego, CA 92109, US",United States of America
"São Paulo, 14025-100, BR, BR","SÃƒÂ£o Paulo, 14025-100, BR",Brazil
"London, EC2A 4BY, GB, GB","London, EC2A 4BY, GB",United Kingdom
"Rockville, MD 20852, US, US","Rockville, MD 20852, US",United States of America
"Richmond, VA 23225, US, US","Richmond, VA 23225, US",United States of America
"Ashburton, NZ, NZ","Ashburton, NZ",New Zealand
"Hilversum, 1211 PA, NL, NL","Hilversum, 1211 PA, NL",Netherlands
"Copenhagen, 1313, DK, DK","Copenhagen, 1313, DK",Denmark
"Stockholm, 10375, SE, SE","Stockholm, 10375, SE",Sweden
"Philippines, 7012, PH, PH","Philippines, 7012, PH",Philippines
"Granby, MO, US, US","Granby, MO, US",United States of America
"Freising, 85356, DE, DE","Freising, 85356, DE",Germany
"Aylesbury, HP19, GB, GB","Aylesbury, HP19, GB",United Kingdom
"Petersfield, GU31, GB, GB","Petersfield, GU31, GB",United Kingdom
"Watford, WD25, GB, GB","Watford, WD25, GB",United Kingdom
"Oakham, GB, GB","Oakham, GB",United Kingdom
"Darmstadt, 64283, DE, DE","Darmstadt, 64283, DE",Germany
"Toronto, M4Y 2Y5, CA, CA","Toronto, M4Y 2Y5, CA",United States of America
"Bristol, ENG, GB, GB","Bristol, ENG, GB",United Kingdom
"Richmond, IL, US, US","Richmond, IL, US",United States of America
"Ghāziābād, 110032, IN, IN","GhÃ„ÂziÃ„ÂbÃ„Âd, 110032, IN",India
"Farmington Hills, MI 48334, US, US","Farmington Hills, MI 48334, US",United States of America
"Jurupa Valley High School, CA, US, US","Jurupa Valley High School, CA, US",United States of America
"Los Gatos, CA 95030, US, US","Los Gatos, CA 95030, US",United States of America
"Rochester, IL, US, US","Rochester, IL, US",United States of America
"Cheshire, CT 06408, US, US","Cheshire, CT 06408, US",United States of America
"Sacramento, CA 95826, US, US","Sacramento, CA 95826, US",United States of America
"West Sacramento, CA 95605, US, US","West Sacramento, CA 95605, US",United States of America
"Springfield, MO 65801, US, US","Springfield, MO 65801, US",United States of America
"Oakton, VA 22124, US, US","Oakton, VA 22124, US",United States of America
"Santa Ana, CA 92701, US, US","Santa Ana, CA 92701, US",United States of America
"Dearborn, MI 48120, US, US","Dearborn, MI 48120, US",United States of America
"Scottsdale, AZ 85250, US, US","Scottsdale, AZ 85250, US",United States of America
"Laurel, MD 20707, US, US","Laurel, MD 20707, US",United States of America
"Coimbra, 3000, PT, PT","Coimbra, 3000, PT",Portugal
"Fairfax, VA 22030, US, US","Fairfax, VA 22030, US",United States of America
"Calverton, MD, US, US","Calverton, MD, US",United States of America
"Pforzheim, DE, DE","Pforzheim, DE",Germany
"Chelmsford, MA 01824, US, US","Chelmsford, MA 01824, US",United States of America
"Madurai, 625022, IN, IN","Madurai, 625022, IN",India
"Indianapolis, IN 46201, US, US","Indianapolis, IN 46201, US",United States of America
"San Antonio, TX 78201, US, US","San Antonio, TX 78201, US",United States of America
"Omsk, 644000, RU, RU","Omsk, 644000, RU",Russia
"West Columbia, SC 29169, US, US","West Columbia, SC 29169, US",United States of America
"Annapolis Junction, MD 20724, US, US","Annapolis Junction, MD 20724, US",United States of America
"Minnetonka, MN 55345, US, US","Minnetonka, MN 55345, US",United States of America
"Durban, 4001, ZA, ZA","Durban, 4001, ZA",South Africa
"São Leopoldo, 93025, BR, BR","SÃƒÂ£o Leopoldo, 93025, BR",Brazil
"Texas, TX 76872, US, US","Texas, TX 76872, US",United States of America
"Newburgh, NY, US, US","Newburgh, NY, US",United States of America
"Haridwar, 249411, IN, IN","Haridwar, 249411, IN",India
"Bangkok, 40, TH, TH","Bangkok, 40, TH",Thailand
"Ahmedabad, 380001, IN, IN","Ahmedabad, 380001, IN",India
"Fort Detrick, MD, US, US","Fort Detrick, MD, US",United States of America
"Varina, IA, US, US","Varina, IA, US",United States of America
"Basildon, SS15 6PT, GB, GB","Basildon, SS15 6PT, GB",United Kingdom
"Media, PA 19063, US, US","Media, PA 19063, US",United States of America
"Carrollton, TX 75006, US, US","Carrollton, TX 75006, US",United States of America
"Johannesburg, 06, ZA, ZA","Johannesburg, 06, ZA",South Africa
"Lyngby, 8220, DK, DK","Lyngby, 8220, DK",Denmark
"Ranchi, 834032, IN, IN","Ranchi, 834032, IN",India
"Guntūr, 522509, IN, IN","GuntÃ…Â«r, 522509, IN",India
"Faizābād, 224201, IN, IN","FaizÃ„ÂbÃ„Âd, 224201, IN",India
"Lucknow, 226018, IN, IN","Lucknow, 226018, IN",India
"Faizābād, IN, IN","FaizÃ„ÂbÃ„Âd, IN",India
"Āgra, 282008, IN, IN","Ã„Â€gra, 282008, IN",India
"Jhānsi, IN, IN","JhÃ„Ânsi, IN",India
"Kākināda, 533016, IN, IN","KÃ„ÂkinÃ„Âda, 533016, IN",India
"Gorakhpur, 209728, IN, IN","Gorakhpur, 209728, IN",India
"Secunderabad, 500094, IN, IN","Secunderabad, 500094, IN",India
"Patna, 800015, IN, IN","Patna, 800015, IN",India
"Rājkot, 360020, IN, IN","RÃ„Âjkot, 360020, IN",India
"Aurangabad, 431005, IN, IN","Aurangabad, 431005, IN",India
"Jersey City, NJ 07097, US, US","Jersey City, NJ 07097, US",United States of America
"Mount Hope, OH, US","Mount Hope, OH",United States of America
"Calgary, 01, CA, CA","Calgary, 01, CA",United States of America
"Livermore Falls, ME, US","Livermore Falls, ME",United States of America
"Cardiff, WLS, GB, GB","Cardiff, WLS, GB",United Kingdom
"Queensbury, NY, US, US","Queensbury, NY, US",United States of America
"Farmington, MO, US, US","Farmington, MO, US",United States of America
"Lahore, PK, PK","Lahore, PK",Pakistan
"Morganton, NC, US, US","Morganton, NC, US",United States of America
"Santo Domingo, 34, DO, DO","Santo Domingo, 34, DO",Dominican Republic
"Mattoon, IL, US, US","Mattoon, IL, US",United States of America
"Dubai, 03, AE, AE","Dubai, 03, AE",United Arab Emirates
"Veszprém, 23, HU, HU","VeszprÃƒÂ©m, 23, HU",Hungary
"Holbrook, AZ, US, US","Holbrook, AZ, US",United States of America
"Boulder, CO 80301, US, US","Boulder, CO 80301, US",United States of America
"Częstochowa, PL, PL","CzÃ„Â™stochowa, PL",Poland
"Phoenix, AZ 85001, US, US","Phoenix, AZ 85001, US",United States of America
"St. Louis, MO 63101, US, US","St. Louis, MO 63101, US",United States of America
"Schaumburg, IL 60159, US, US","Schaumburg, IL 60159, US",United States of America
"Township of Bernards, NJ 07920, US, US","Township of Bernards, NJ 07920, US",United States of America
"Dothan, 12251, PK, PK","Dothan, 12251, PK",Pakistan
"San Mateo, CA 94409, US, US","San Mateo, CA 94409, US",United States of America
"Guadalajara, 45203, MX, MX","Guadalajara, 45203, MX",Mexico
"Jakarta, 04, ID, ID","Jakarta, 04, ID",Indonesia
"Ghent, ME, US, US","Ghent, ME, US",United States of America
"Offutt Air Force Base, NE 68113, US, US","Offutt Air Force Base, NE 68113, US",United States of America
"Huntsville, AL 35801, US, US","Huntsville, AL 35801, US",United States of America
"Kladno, CZ, CZ","Kladno, CZ",Czech Republic
"Illinois, IL 62548, US, US","Illinois, IL 62548, US",United States of America
"Newport, NP20, GB, GB","Newport, NP20, GB",United Kingdom
"Melbourne, 8051, AU, AU","Melbourne, 8051, AU",Australia
"Newbury, RG14, GB, GB","Newbury, RG14, GB",United Kingdom
"Silver Spring, MD 20901, US, US","Silver Spring, MD 20901, US",United States of America
"Timişoara, 307221, RO, RO","TimiÃ…ÂŸoara, 307221, RO",Romania
"Plano, TX 75023, US, US","Plano, TX 75023, US",United States of America
"Hill, SE5 9RS, GB, GB","Hill, SE5 9RS, GB",United Kingdom
"Orange, CA 92856, US, US","Orange, CA 92856, US",United States of America
"George Town, 10300, MY, MY","George Town, 10300, MY",Malaysia
"Greenwood Village, CO 80121, US, US","Greenwood Village, CO 80121, US",United States of America
"Garner, IA, US, US","Garner, IA, US",United States of America
"Jerusalem, 99999, IL, IL","Jerusalem, 99999, IL",Israel
"Bundaberg, AU, AU","Bundaberg, AU",Australia
"Isabela, Puerto Rico, Puerto Rico","Isabela, Puerto Rico",Puerto Rico
"Barlaston, England, United Kingdom, United Kingdom","Barlaston, England, United Kingdom",United Kingdom
"Santo Tirso, Porto, Portugal, Portugal","Santo Tirso, Porto, Portugal",Portugal
"Alfara de Carles, Catalonia, Spain, Spain","Alfara de Carles, Catalonia, Spain",Spain
"Wantiool, New South Wales, Australia, Australia","Wantiool, New South Wales, Australia",Australia
"Santana de Parnaíba, São Paulo, Brazil, Brazil","Santana de ParnaÃƒÂ­ba, SÃƒÂ£o Paulo, Brazil",Brazil
"Curitiba, Paraná, Brazil, Brazil","Curitiba, ParanÃƒÂ¡, Brazil",Brazil
"Binyamina, Haifa District, Israel, Israel","Binyamina, Haifa District, Israel",Israel
"Norco, CA, US, US","Norco, CA, US",United States of America
"Americas Best Inns Ituzaigo, AR, AR","Americas Best Inns Ituzaigo, AR",Argentina
"Childersburg, AL, US, US","Childersburg, AL, US",United States of America
"DeFuniak Springs, FL, US, US","DeFuniak Springs, FL, US",United States of America
"Shelbyville, KY, US, US","Shelbyville, KY, US",United States of America
"Lake Havasu City, AZ, US, US","Lake Havasu City, AZ, US",United States of America
"Plattsburgh, NY, US, US","Plattsburgh, NY, US",United States of America
"Franklin, KY, US, US","Franklin, KY, US",United States of America
"Manitowoc, WI, US, US","Manitowoc, WI, US",United States of America
"Kathleen, GA, US, US","Kathleen, GA, US",United States of America
"Camden, SC, US, US","Camden, SC, US",United States of America
"Gordonsville, VA, US, US","Gordonsville, VA, US",United States of America
"Athens, TN, US, US","Athens, TN, US",United States of America
"Roeland Park, KS, US, US","Roeland Park, KS, US",United States of America
"Solis, CA, US, US","Solis, CA, US",United States of America
"Wallops Island, VA, US, US","Wallops Island, VA, US",United States of America
"Ault, CO, US, US","Ault, CO, US",United States of America
"Jacksonville, IL, US, US","Jacksonville, IL, US",United States of America
"Zielona Góra, Lubuskie, Poland, Poland","Zielona GÃƒÂ³ra, Lubuskie, Poland",Poland
"Bishop, CA, US, US","Bishop, CA, US",United States of America
"Centerville, UT, US, US","Centerville, UT, US",United States of America
"Vélizy/HELIOS (19-21 avenue Morane Saulnier), Vélizy, Ile de France, Ile de France","VÃƒÂ©lizy/HELIOS (19-21 avenue Morane Saulnier), VÃƒÂ©lizy, Ile de France",France
"Brandon, FL, US, US","Brandon, FL, US",United States of America
"Harwood, ND, US, US","Harwood, ND, US",United States of America
"Northwood, ND, US, US","Northwood, ND, US",United States of America
"Regan, ND, US, US","Regan, ND, US",United States of America
"Thompson, ND, US, US","Thompson, ND, US",United States of America
"Christine, ND, US, US","Christine, ND, US",United States of America
"Minto, ND, US, US","Minto, ND, US",United States of America
"Gilby, ND, US, US","Gilby, ND, US",United States of America
"Grandin, ND, US, US","Grandin, ND, US",United States of America
"West Fargo, ND, US, US","West Fargo, ND, US",United States of America
"Davenport, ND, US, US","Davenport, ND, US",United States of America
"Walcott, ND, US, US","Walcott, ND, US",United States of America
"Mandan, ND, US, US","Mandan, ND, US",United States of America
"Reynolds, ND, US, US","Reynolds, ND, US",United States of America
"Emerado, ND, US, US","Emerado, ND, US",United States of America
"Symonston, AU, AU","Symonston, AU",Australia
"Beatrice, NE, US, US","Beatrice, NE, US",United States of America
"South Beach, FL, US, US","South Beach, FL, US",United States of America
"Dolianova, Sardinia, Italy, Italy","Dolianova, Sardinia, Italy",Italy
"Biddeford, ME, US, US","Biddeford, ME, US",United States of America
"Wetumpka, AL, US, US","Wetumpka, AL, US",United States of America
"Rayleigh, GB, GB","Rayleigh, GB",United Kingdom
"Minsk, BY, BY","Minsk, BY",Belarus
"Argusville, ND, US, US","Argusville, ND, US",United States of America
"Schaffhausen, CH, CH","Schaffhausen, CH",Switzerland
"Karancsberény, Nógrád, Hungary, Hungary","KarancsberÃƒÂ©ny, NÃƒÂ³grÃƒÂ¡d, Hungary",Hungary
"Onaway, MI, US","Onaway, MI",United States of America
"Kardzhali, Kurdzhali, Bulgaria, Bulgaria","KardÃ…Â¾ali, Kurdzhali, Bulgaria",Bulgaria
"León, Guanajuato, Mexico, Mexico","LeÃƒÂ³n, Guanajuato, Mexico",Mexico
"Dagenham, England, United Kingdom, United Kingdom","Dagenham, England, United Kingdom",United Kingdom
"Hofheim am Taunus, Hesse, Germany, Germany","Hofheim am Taunus, Hesse, Germany",Germany
"Gödöllő, Pest, Hungary, Hungary","GÃƒÂ¶dÃƒÂ¶llÃ…Â‘, Pest, Hungary",Hungary
"Thissor, Dhofar Governorate, Oman, Oman","Thissor, Dhofar Governorate, Oman",Oman
"Clayton, IN, US, US","Clayton, IN, US",United States of America
"Franklin, ID, US, US","Franklin, ID, US",United States of America
"Clayton, CA, US, US","Clayton, CA, US",United States of America
"Tatabánya, Komárom-Esztergom, Hungary, Hungary","TatabÃƒÂ¡nya, KomÃƒÂ¡rom-Esztergom, Hungary",Hungary
"Church, GB, GB","Church, GB",United Kingdom
"DuPont, WA, US, US","DuPont, WA, US",United States of America
"Umatilla, OR, US, US","Umatilla, OR, US",United States of America
"Mentor-on-the-Lake, OH, US, US","Mentor-on-the-Lake, OH, US",United States of America
"Eagle Farm, AU, AU","Eagle Farm, AU",Australia
"Front Royal, VA, US, US","Front Royal, VA, US",United States of America
"Botswana, ZA, ZA","Botswana, ZA",South Africa
"Tres Ríos, CR, CR","Tres RÃƒÂ­os, CR",Brazil
"Gümligen, CH, CH","GÃƒÂ¼mligen, CH",Switzerland
"Bülach, CH, CH","BÃƒÂ¼lach, CH",Switzerland
"La Chaux, CH, CH","La Chaux, CH",Switzerland
"Harrison, NY, US, US","Harrison, NY, US",United States of America
"Chickerell, England, United Kingdom, United Kingdom","Chickerell, England, United Kingdom",United Kingdom
"Monkokehampton, England, United Kingdom, United Kingdom","Monkokehampton, England, United Kingdom",United Kingdom
"Växjö kommun, Kronoberg County, Sweden, Sweden","VÃƒÂ¤xjÃƒÂ¶ kommun, Kronoberg County, Sweden",Sweden
"Poyrazdamları, Manisa, Türkiye, Türkiye","PoyrazdamlarÃ„Â±, Manisa, TÃƒÂ¼rkiye",Türkiye
"Plover, WI, US","Plover, WI",United States of America
"Windsor Locks, CT, US, US","Windsor Locks, CT",United States of America
"Whitchurch-Stouffville, ON, CA","Whitchurch-Stouffville, ON",United States of America
"Älmhult, Kronoberg County, Sweden, Sweden","ÃƒÂ„lmhult, Kronoberg County, Sweden",Sweden
"Trhový Štěpánov, Central Bohemia, Czechia, Czechia","TrhovÃƒÂ½ Ã…Â tÃ„Â›pÃƒÂ¡nov, Central Bohemia, Czechia",Czech Republic
"Bulphan, England, United Kingdom, United Kingdom","Bulphan, England, United Kingdom",United Kingdom
"Sekinchan, Selangor, Malaysia, Malaysia","Sekinchan, Selangor, Malaysia",Malaysia
"Colebrook, Tasmania, Australia, Australia","Colebrook, Tasmania, Australia",Australia
"Antigonish, Subdivision B, NS, CA","Antigonish, Subdivision B, NS",United States of America
"Teneriffe, Queensland, Australia, Australia","Teneriffe, Queensland, Australia",Australia
"Le Trait, Normandy, France, France","Le Trait, Normandy, France",France
"Wynnewood, PA, US, US","Wynnewood, PA",United States of America
"Strensall, England, United Kingdom, United Kingdom","Strensall, England, United Kingdom",United Kingdom
"Oranjeville, Free State, South Africa, South Africa","Oranjeville, Free State, South Africa",South Africa
"Gyeyang District, Incheon, South Korea, South Korea","Gyeyang District, Incheon, South Korea",South Korea
"Spring Grove, IL, US, US","Spring Grove, IL",United States of America
"Irving, NY, US, US","Irving, NY",United States of America
"Pyshma, Sverdlovsk, Russia, Russia","Pyshma, Sverdlovsk, Russia",Russia
"Kfar Netter, Center District, Israel, Israel","Kfar Netter, Center District, Israel",Israel
"Padstow Heights, New South Wales, Australia, Australia","Padstow Heights, New South Wales, Australia",Australia
"Cave City, KY, US, US","Cave City, KY",United States of America
"Forestville, New South Wales, Australia, Australia","Forestville, New South Wales, Australia",Australia
"Bönen, North Rhine-Westphalia, Germany, Germany","BÃƒÂ¶nen, North Rhine-Westphalia, Germany",Germany
"Cottonwood, AZ, US, US","Cottonwood, AZ",United States of America
"Franklin, NH, US, US","Franklin, NH",United States of America
"Bedburg-Hau, North Rhine-Westphalia, Germany, Germany","Bedburg-Hau, North Rhine-Westphalia, Germany",Germany
"Pelton, England, United Kingdom, United Kingdom","Pelton, England, United Kingdom",United Kingdom
"Woodford Green, England, United Kingdom, United Kingdom","Woodford Green, England, United Kingdom",United Kingdom
"Ashbourne, England, United Kingdom, United Kingdom","Ashbourne, England, United Kingdom",United Kingdom
"Essex Fells, NJ, US, US","Essex Fells, NJ, US",United States of America
"Jackson, MI, US, US","Jackson, MI, US",United States of America
"Changzhou, CN, CN","Changzhou, CN",China
"Islamic Republic of Afghanistan, AF, AF","Islamic Republic of Afghanistan, AF",Afghanistan
"Winchester, OR, US, US","Winchester, OR, US",United States of America
"Sayreville, NJ, US, US","Sayreville, NJ, US",United States of America
"Chubbuck, ID, US, US","Chubbuck, ID, US",United States of America
"St Leonards, GB, GB","St Leonards, GB",United Kingdom
"Newcastle under Lyme, GB, GB","Newcastle under Lyme, GB",United Kingdom
"Seffner, FL, US, US","Seffner, FL, US",United States of America
"Bridgeville, PA, US, US","Bridgeville, PA, US",United States of America
"Hasbrouck Heights, NJ, US","Hasbrouck Heights, NJ",United States of America
"Leeds, AL, US, US","Leeds, AL, US",United States of America
"Pickering, CA, CA","Pickering, CA",United States of America
